text,SNAP,Medicaid,Section8_Housing,TANF,LIHEAP,household_income_pct_fpl,housing_status,citizenship_status,has_dependent_children,has_utility_bills
"I am self-employed doing food delivery work, my income varies month to month. I am staying with family temporarily as I cannot afford my own place. I live with my spouse and 3 children. I have been managing diabetes without proper medical care due to cost. My electricity bill has been very high this winter, around $577 per month. I do not have legal immigration status.",0,0,0,0,1,130,renting,undocumented,True,True
"I work 20 hours a week at cleaning service, making $1068 monthly. I am renting a room in a shared house for $745 per month. I live alone. I have been managing depression without proper medical care due to cost. I am a legal permanent resident and have been in the US for over 5 years.",1,1,0,0,0,89,renting,qualified_alien,False,False
I am a full-time caregiver for my father and have no outside income. I am currently renting an apartment for $1042 per month. I live alone. I am pregnant and currently uninsured. My utility bills take up a large portion of my income. I do not have legal immigration status.,0,0,0,0,1,79,owned,undocumented,True,True
I work part-time at a warehouse earning about $960 per month. I am renting a room in a shared house for $1507 per month. I am a single parent with 3 kids. I have a chronic condition (arthritis) that requires regular medication. I am behind on my heating bills by $438. I am a legal permanent resident and have been in the US for over 5 years.,1,1,0,0,1,80,owned,qualified_alien,True,True
I am currently unemployed and have been looking for work for 10 months. I have been unhoused for 4 months and am staying in a shelter. I live with my partner. I have no health insurance. My utility bills take up a large portion of my income. I am a legal permanent resident and have been in the US for over 5 years.,0,0,0,0,0,179,owned,qualified_alien,False,True
"I am self-employed doing rideshare work, my income varies month to month. I am staying with family temporarily as I cannot afford my own place. I live with my partner. My child has asthma and needs ongoing medical care.",1,1,0,0,0,55,staying_with_family,citizen,False,False
I am a full-time caregiver for my spouse and have no outside income. I recently became homeless after my landlord evicted me. I share an apartment with a roommate. My child has diabetes and needs ongoing medical care. I received a shutoff notice for my gas service. I do not have legal immigration status.,0,0,0,0,1,143,renting,undocumented,False,True
"I work 25 hours a week at cleaning service, making $1212 monthly. I own my home but am struggling to keep up with the mortgage. I am a single parent with 1 kids. I have no health insurance. I do not have legal immigration status.",0,0,0,0,0,101,owned,undocumented,True,False
"I am self-employed doing food delivery work, my income varies month to month. I own my home but am struggling to keep up with the mortgage. I share an apartment with a roommate. I have no health insurance. I struggle every month to pay my utility bills on time. I do not have legal immigration status.",0,0,0,0,1,108,staying_with_family,undocumented,False,True
"I am a student and work part-time, earning around $1860 a month. I have been unhoused for 12 months and am staying in a shelter. I live alone. I have no health insurance. I am behind on my heating bills by $467.",0,0,0,0,0,155,renting,citizen,False,True
"I am self-employed doing freelance cleaning work, my income varies month to month. I recently became homeless after my landlord evicted me. My household includes myself, my partner, and our 1 children. I have no health insurance.",0,0,0,0,0,167,renting,citizen,True,False
I am a full-time caregiver for my father and have no outside income. I am renting a room in a shared house for $803 per month. I live with my partner. I am pregnant and currently uninsured.,0,0,0,0,0,214,renting,citizen,False,False
I am a full-time caregiver for my spouse and have no outside income. I have been unhoused for 11 months and am staying in a shelter. I live with my partner. I recently lost my employer-sponsored health insurance. I received a shutoff notice for my gas service.,0,0,0,0,0,329,renting,citizen,False,True
I recently lost my job at Target due to layoffs. I am staying with family temporarily as I cannot afford my own place. I share an apartment with a roommate. I have a chronic condition (depression) that requires regular medication. My utility bills take up a large portion of my income.,1,1,0,0,1,23,owned,citizen,False,True
I recently lost my job at Target due to layoffs. I am renting a room in a shared house for $842 per month. I am a single parent with 2 kids. I have a chronic condition (depression) that requires regular medication. I received a shutoff notice for my gas service.,1,1,0,0,1,122,unhoused,citizen,True,True
"I am self-employed doing freelance cleaning work, my income varies month to month. I own my home but am struggling to keep up with the mortgage. I am caring for my elderly father who lives with me. My child has asthma and needs ongoing medical care. I am behind on my heating bills by $248. I do not have legal immigration status.",0,0,0,0,1,93,renting,undocumented,True,True
"I am self-employed doing handyman work, my income varies month to month. I have been unhoused for 4 months and am staying in a shelter. I live with my partner. My child has diabetes and needs ongoing medical care. My utility bills take up a large portion of my income. I am a legal permanent resident and have been in the US for over 5 years.",1,1,0,0,1,34,owned,qualified_alien,False,True
"I am self-employed doing rideshare work, my income varies month to month. I recently became homeless after my landlord evicted me. I am a single parent with 4 kids. I recently lost my employer-sponsored health insurance. I received a shutoff notice for my gas service. I am a legal permanent resident and have been in the US for over 5 years.",1,1,0,0,1,72,renting,qualified_alien,True,True
I recently lost my job at a local restaurant due to layoffs. I own my home but am struggling to keep up with the mortgage. I live alone. I have no health insurance.,0,0,0,0,0,237,staying_with_family,citizen,True,False
I recently lost my job at Target due to layoffs. I recently became homeless after my landlord evicted me. I am a single parent with 3 kids. I recently lost my employer-sponsored health insurance. I am a legal permanent resident and have been in the US for over 5 years.,0,0,0,0,0,335,unhoused,qualified_alien,True,False
"I am a student and work part-time, earning around $2448 a month. I am currently renting an apartment for $613 per month. I am caring for my elderly mother who lives with me. I have no health insurance. I am a legal permanent resident and have been in the US for over 5 years.",0,0,0,0,0,204,staying_with_family,qualified_alien,True,False
I recently lost my job at Target due to layoffs. I am currently renting an apartment for $1212 per month. I live with my partner. My child has diabetes and needs ongoing medical care. I struggle every month to pay my utility bills on time.,0,1,0,0,1,135,owned,citizen,False,True
"I am self-employed doing rideshare work, my income varies month to month. I recently became homeless after my landlord evicted me. I share an apartment with a roommate. I have a chronic condition (hypertension) that requires regular medication. My utility bills take up a large portion of my income.",1,1,0,0,1,85,renting,citizen,False,True
"I am self-employed doing rideshare work, my income varies month to month. I recently became homeless after my landlord evicted me. I have 4 children ages 2, 11. I am pregnant and currently uninsured. My electricity bill has been very high this winter, around $477 per month. I am a legal permanent resident and have been in the US for over 5 years.",0,0,0,0,0,358,staying_with_family,qualified_alien,True,True
"I am currently unemployed and have been looking for work for 4 months. I am staying with family temporarily as I cannot afford my own place. My household includes myself, my partner, and our 4 children. I recently lost my employer-sponsored health insurance. My utility bills take up a large portion of my income.",1,1,0,1,1,32,owned,citizen,True,True
I am a full-time caregiver for my father and have no outside income. I own my home but am struggling to keep up with the mortgage. I am caring for my elderly father who lives with me. I have been managing hypertension without proper medical care due to cost. I do not have legal immigration status.,0,0,0,0,0,138,owned,undocumented,True,False
I receive disability benefits of $780 per month and cannot work. I am currently renting an apartment for $1013 per month. I live with my partner. I am pregnant and currently uninsured. I struggle every month to pay my utility bills on time.,1,1,0,0,1,65,staying_with_family,citizen,False,True
I recently lost my job at a small business due to layoffs. I have been unhoused for 11 months and am staying in a shelter. I am caring for my elderly mother who lives with me. I am pregnant and currently uninsured.,0,0,0,0,0,174,owned,citizen,True,False
I am a full-time caregiver for my father and have no outside income. I am currently renting an apartment for $631 per month. I share an apartment with a roommate. I am pregnant and currently uninsured.,1,1,0,0,0,117,owned,citizen,False,False
"I am self-employed doing freelance cleaning work, my income varies month to month. I am staying with family temporarily as I cannot afford my own place. My household includes myself, my partner, and our 1 children. I have no health insurance. I struggle every month to pay my utility bills on time.",0,0,0,0,0,175,owned,citizen,True,True
"I work part-time at a cleaning service earning about $2256 per month. I own my home but am struggling to keep up with the mortgage. My household includes myself, my partner, and our 4 children. I am pregnant and currently uninsured. I received a shutoff notice for my gas service.",0,0,0,0,0,188,owned,citizen,True,True
"I am a student and work part-time, earning around $3408 a month. I am currently renting an apartment for $1430 per month. I live alone. I have a chronic condition (arthritis) that requires regular medication.",0,0,0,0,0,284,staying_with_family,citizen,False,False
I recently lost my job at Amazon due to layoffs. I am renting a room in a shared house for $1482 per month. I share an apartment with a roommate. I have a chronic condition (arthritis) that requires regular medication. I am behind on my heating bills by $238. I do not have legal immigration status.,0,0,0,0,0,337,staying_with_family,undocumented,False,True
I work part-time at a warehouse earning about $4680 per month. I am currently renting an apartment for $1376 per month. I live with my spouse and 1 children. I am pregnant and currently uninsured. I am behind on my heating bills by $488. I do not have legal immigration status.,0,0,0,0,0,390,renting,undocumented,True,True
I receive disability benefits of $3300 per month and cannot work. I am renting a room in a shared house for $1427 per month. I live with my partner. I have no health insurance. My utility bills take up a large portion of my income.,0,0,0,0,0,275,staying_with_family,citizen,False,True
I am a full-time caregiver for my spouse and have no outside income. I am staying with family temporarily as I cannot afford my own place. I live alone. I am pregnant and currently uninsured. I received a shutoff notice for my gas service.,0,0,0,0,0,176,renting,citizen,False,True
"I am a student and work part-time, earning around $1080 a month. I recently became homeless after my landlord evicted me. I live alone. My child has arthritis and needs ongoing medical care.",1,1,0,0,0,90,unhoused,citizen,False,False
"I am a student and work part-time, earning around $2256 a month. I am currently renting an apartment for $1763 per month. I share an apartment with a roommate. I have a chronic condition (diabetes) that requires regular medication.",0,0,0,0,0,188,unhoused,citizen,False,False
I work part-time at a retail shop earning about $1692 per month. I am renting a room in a shared house for $622 per month. I live with my partner. I am pregnant and currently uninsured. My utility bills take up a large portion of my income. I do not have legal immigration status.,0,0,0,0,1,141,staying_with_family,undocumented,False,True
I receive disability benefits of $2112 per month and cannot work. I have been unhoused for 5 months and am staying in a shelter. I live with my spouse and 1 children. I have a chronic condition (asthma) that requires regular medication. My utility bills take up a large portion of my income.,0,0,0,0,0,176,unhoused,citizen,True,True
"I am a full-time caregiver for my spouse and have no outside income. I am currently renting an apartment for $1302 per month. I have 2 children ages 14, 13. I have been managing depression without proper medical care due to cost. I am behind on my heating bills by $257. I do not have legal immigration status.",0,0,1,0,1,37,unhoused,undocumented,True,True
I receive disability benefits of $2100 per month and cannot work. I have been unhoused for 9 months and am staying in a shelter. I live with my partner. I have no health insurance. I struggle every month to pay my utility bills on time.,0,0,0,0,0,175,renting,citizen,False,True
"I work 10 hours a week at restaurant, making $756 monthly. I recently became homeless after my landlord evicted me. I live with my spouse and 2 children. I am pregnant and currently uninsured. My electricity bill has been very high this winter, around $575 per month. I do not have legal immigration status.",0,0,0,0,1,63,renting,undocumented,True,True
"I am self-employed doing rideshare work, my income varies month to month. I recently became homeless after my landlord evicted me. I live alone. I have no health insurance.",1,1,0,0,0,24,staying_with_family,citizen,False,False
"I am a student and work part-time, earning around $1260 a month. I have been unhoused for 7 months and am staying in a shelter. I live with my spouse and 3 children. I recently lost my employer-sponsored health insurance. My electricity bill has been very high this winter, around $401 per month.",1,1,0,0,1,105,owned,citizen,True,True
I work part-time at a restaurant earning about $2952 per month. I am renting a room in a shared house for $1113 per month. I live alone. I have been managing depression without proper medical care due to cost. I received a shutoff notice for my gas service.,0,0,0,0,0,246,renting,citizen,True,True
I work part-time at a warehouse earning about $768 per month. I am renting a room in a shared house for $1696 per month. I live with my partner. I have been managing hypertension without proper medical care due to cost. I struggle every month to pay my utility bills on time. I am a legal permanent resident and have been in the US for over 5 years.,1,1,0,0,1,64,staying_with_family,qualified_alien,False,True
"I am self-employed doing handyman work, my income varies month to month. I recently became homeless after my landlord evicted me. My household includes myself, my partner, and our 3 children. I recently lost my employer-sponsored health insurance. I am a legal permanent resident and have been in the US for over 5 years.",0,0,0,0,0,142,renting,qualified_alien,True,False
I receive disability benefits of $1116 per month and cannot work. I am currently renting an apartment for $1291 per month. I live alone. My child has diabetes and needs ongoing medical care. I am behind on my heating bills by $563. I am a legal permanent resident and have been in the US for over 5 years.,1,1,0,0,1,93,staying_with_family,qualified_alien,False,True
I am currently unemployed and have been looking for work for 16 months. I am staying with family temporarily as I cannot afford my own place. I live alone. My child has arthritis and needs ongoing medical care.,1,1,0,0,0,123,unhoused,citizen,False,False
"I am self-employed doing freelance cleaning work, my income varies month to month. I am renting a room in a shared house for $1717 per month. I am a single parent with 2 kids. I have no health insurance. I do not have legal immigration status.",0,0,0,0,0,30,staying_with_family,undocumented,True,False
I recently lost my job at a small business due to layoffs. I am currently renting an apartment for $613 per month. I live alone. I have no health insurance. I received a shutoff notice for my gas service. I am a legal permanent resident and have been in the US for over 5 years.,0,0,0,0,0,184,unhoused,qualified_alien,False,True
"I work 25 hours a week at warehouse, making $1560 monthly. I am currently renting an apartment for $1216 per month. I live with my spouse and 1 children. I have no health insurance. I received a shutoff notice for my gas service.",1,1,0,0,1,130,unhoused,citizen,True,True
I recently lost my job at Target due to layoffs. I recently became homeless after my landlord evicted me. I live alone. My child has hypertension and needs ongoing medical care.,0,0,0,0,0,257,unhoused,citizen,False,False
"I am a student and work part-time, earning around $492 a month. I am renting a room in a shared house for $1267 per month. I live alone. I have been managing hypertension without proper medical care due to cost. I am behind on my heating bills by $548. I do not have legal immigration status.",0,0,1,0,1,41,renting,undocumented,False,True
"I am a student and work part-time, earning around $1212 a month. I own my home but am struggling to keep up with the mortgage. I live with my partner. I recently lost my employer-sponsored health insurance.",1,1,0,0,0,101,staying_with_family,citizen,False,False
I receive disability benefits of $1116 per month and cannot work. I have been unhoused for 5 months and am staying in a shelter. I share an apartment with a roommate. I recently lost my employer-sponsored health insurance. I am behind on my heating bills by $445.,1,1,0,0,1,93,owned,citizen,False,True
"I am currently unemployed and have been looking for work for 14 months. I am staying with family temporarily as I cannot afford my own place. I live alone. I have been managing arthritis without proper medical care due to cost. My electricity bill has been very high this winter, around $367 per month. I do not have legal immigration status.",0,0,0,0,0,306,unhoused,undocumented,True,True
I am currently unemployed and have been looking for work for 14 months. I recently became homeless after my landlord evicted me. I live with my partner. I have been managing hypertension without proper medical care due to cost. I am behind on my heating bills by $510. I am a legal permanent resident and have been in the US for over 5 years.,1,1,0,0,1,53,staying_with_family,qualified_alien,False,True
"I am a student and work part-time, earning around $3804 a month. I own my home but am struggling to keep up with the mortgage. I share an apartment with a roommate. I am pregnant and currently uninsured. I am behind on my heating bills by $553. I am a legal permanent resident and have been in the US for over 5 years.",0,0,0,0,0,317,unhoused,qualified_alien,False,True
I am currently unemployed and have been looking for work for 12 months. I have been unhoused for 9 months and am staying in a shelter. I live alone. I have been managing depression without proper medical care due to cost. My utility bills take up a large portion of my income.,1,1,0,0,1,63,owned,citizen,False,True
I work part-time at a restaurant earning about $1908 per month. I recently became homeless after my landlord evicted me. I am caring for my elderly mother who lives with me. My child has diabetes and needs ongoing medical care. I do not have legal immigration status.,0,0,0,0,0,159,owned,undocumented,True,False
"I am a student and work part-time, earning around $300 a month. I am renting a room in a shared house for $870 per month. I live with my partner. My child has depression and needs ongoing medical care. My electricity bill has been very high this winter, around $299 per month.",1,1,1,0,1,25,renting,citizen,False,True
I am a full-time caregiver for my spouse and have no outside income. I am staying with family temporarily as I cannot afford my own place. I live with my partner. I recently lost my employer-sponsored health insurance. I received a shutoff notice for my gas service. I do not have legal immigration status.,0,0,0,0,1,133,staying_with_family,undocumented,False,True
"I receive disability benefits of $1788 per month and cannot work. I am currently renting an apartment for $1248 per month. I have 4 children ages 12, 6. I am pregnant and currently uninsured.",0,0,0,0,0,149,staying_with_family,citizen,True,False
I work part-time at a retail shop earning about $2100 per month. I am staying with family temporarily as I cannot afford my own place. I am caring for my elderly grandmother who lives with me. I have been managing asthma without proper medical care due to cost. My utility bills take up a large portion of my income. I do not have legal immigration status.,0,0,0,0,0,175,staying_with_family,undocumented,True,True
I receive disability benefits of $936 per month and cannot work. I have been unhoused for 10 months and am staying in a shelter. I share an apartment with a roommate. I recently lost my employer-sponsored health insurance. My utility bills take up a large portion of my income.,1,1,0,0,1,78,staying_with_family,citizen,False,True
"I work part-time at a retail shop earning about $840 per month. I am renting a room in a shared house for $1647 per month. My household includes myself, my partner, and our 3 children. My child has hypertension and needs ongoing medical care. My electricity bill has been very high this winter, around $295 per month. I do not have legal immigration status.",0,0,0,0,1,70,renting,undocumented,True,True
"I am a student and work part-time, earning around $504 a month. I am renting a room in a shared house for $776 per month. I have 3 children ages 11, 3. My child has diabetes and needs ongoing medical care. My electricity bill has been very high this winter, around $359 per month. I am a legal permanent resident and have been in the US for over 5 years.",1,1,1,0,1,42,unhoused,qualified_alien,True,True
"I am a student and work part-time, earning around $2940 a month. I am currently renting an apartment for $605 per month. I live with my partner. I have a chronic condition (depression) that requires regular medication. My electricity bill has been very high this winter, around $484 per month.",0,0,0,0,0,245,unhoused,citizen,False,True
I work part-time at a cleaning service earning about $2952 per month. I recently became homeless after my landlord evicted me. I live alone. I have a chronic condition (arthritis) that requires regular medication.,0,0,0,0,0,246,unhoused,citizen,False,False
"I recently lost my job at Amazon due to layoffs. I recently became homeless after my landlord evicted me. I live with my partner. I have a chronic condition (arthritis) that requires regular medication. My electricity bill has been very high this winter, around $413 per month.",1,1,0,0,1,117,renting,citizen,False,True
I receive disability benefits of $384 per month and cannot work. I am staying with family temporarily as I cannot afford my own place. I live with my partner. My child has depression and needs ongoing medical care. I received a shutoff notice for my gas service. I do not have legal immigration status.,0,0,1,0,1,32,unhoused,undocumented,False,True
"I work part-time at a retail shop earning about $1128 per month. I own my home but am struggling to keep up with the mortgage. My household includes myself, my partner, and our 3 children. I am pregnant and currently uninsured. I am behind on my heating bills by $513. I do not have legal immigration status.",0,0,0,0,1,94,unhoused,undocumented,True,True
I work part-time at a grocery store earning about $984 per month. I am currently renting an apartment for $1002 per month. I live alone. I have been managing arthritis without proper medical care due to cost.,1,1,0,0,0,82,unhoused,citizen,False,False
I work part-time at a cleaning service earning about $2292 per month. I have been unhoused for 2 months and am staying in a shelter. I live alone. I have been managing hypertension without proper medical care due to cost.,0,0,0,0,0,191,renting,citizen,False,False
I am currently unemployed and have been looking for work for 17 months. I am currently renting an apartment for $802 per month. I am caring for my elderly grandmother who lives with me. I have no health insurance. I do not have legal immigration status.,0,0,0,0,0,118,unhoused,undocumented,True,False
I work part-time at a grocery store earning about $1236 per month. I have been unhoused for 12 months and am staying in a shelter. I live alone. I have no health insurance. I struggle every month to pay my utility bills on time. I am a legal permanent resident and have been in the US for over 5 years.,1,1,0,0,1,103,unhoused,qualified_alien,False,True
"I work 15 hours a week at grocery store, making $2268 monthly. I recently became homeless after my landlord evicted me. I live alone. My child has depression and needs ongoing medical care.",0,0,0,0,0,189,staying_with_family,citizen,True,False
"I work 20 hours a week at warehouse, making $1416 monthly. I am renting a room in a shared house for $1159 per month. I live with my spouse and 3 children. I have a chronic condition (asthma) that requires regular medication. I struggle every month to pay my utility bills on time.",1,1,0,0,1,118,renting,citizen,True,True
I work part-time at a grocery store earning about $1164 per month. I have been unhoused for 2 months and am staying in a shelter. I share an apartment with a roommate. I am pregnant and currently uninsured.,1,1,0,0,0,97,unhoused,citizen,False,False
I am currently unemployed and have been looking for work for 2 months. I own my home but am struggling to keep up with the mortgage. I live alone. I have no health insurance. My utility bills take up a large portion of my income. I do not have legal immigration status.,0,0,0,0,0,276,staying_with_family,undocumented,False,True
"I am a student and work part-time, earning around $1560 a month. I am staying with family temporarily as I cannot afford my own place. I live with my partner. I have a chronic condition (depression) that requires regular medication. My utility bills take up a large portion of my income. I am a legal permanent resident and have been in the US for over 5 years.",1,1,0,0,1,130,staying_with_family,qualified_alien,False,True
I am a full-time caregiver for my mother and have no outside income. I own my home but am struggling to keep up with the mortgage. I live with my partner. I have a chronic condition (diabetes) that requires regular medication.,0,0,0,0,0,176,owned,citizen,False,False
I recently lost my job at a local restaurant due to layoffs. I own my home but am struggling to keep up with the mortgage. I live with my spouse and 3 children. I have no health insurance.,0,0,0,0,0,162,renting,citizen,True,False
"I am a student and work part-time, earning around $528 a month. I am staying with family temporarily as I cannot afford my own place. I live alone. I am pregnant and currently uninsured.",1,1,0,1,0,44,staying_with_family,citizen,True,False
"I am a student and work part-time, earning around $852 a month. I have been unhoused for 11 months and am staying in a shelter. I share an apartment with a roommate. I have a chronic condition (asthma) that requires regular medication. I struggle every month to pay my utility bills on time.",1,1,0,0,1,71,owned,citizen,False,True
"I am self-employed doing rideshare work, my income varies month to month. I own my home but am struggling to keep up with the mortgage. I have 3 children ages 14, 11. I have been managing asthma without proper medical care due to cost. I struggle every month to pay my utility bills on time. I do not have legal immigration status.",0,0,0,0,1,120,renting,undocumented,True,True
"I am self-employed doing handyman work, my income varies month to month. I am currently renting an apartment for $1013 per month. I live with my partner. I recently lost my employer-sponsored health insurance.",1,1,0,0,0,99,staying_with_family,citizen,False,False
"I am a full-time caregiver for my father and have no outside income. I recently became homeless after my landlord evicted me. I live alone. I am pregnant and currently uninsured. My electricity bill has been very high this winter, around $417 per month.",1,1,0,0,1,36,staying_with_family,citizen,False,True
"I am a full-time caregiver for my mother and have no outside income. I am staying with family temporarily as I cannot afford my own place. I have 3 children ages 14, 9. I have no health insurance. My utility bills take up a large portion of my income.",0,0,0,0,0,265,renting,citizen,True,True
"I recently lost my job at a local restaurant due to layoffs. I am renting a room in a shared house for $671 per month. My household includes myself, my partner, and our 1 children. I have been managing hypertension without proper medical care due to cost. My electricity bill has been very high this winter, around $423 per month.",0,0,0,0,0,340,staying_with_family,citizen,True,True
"I am self-employed doing handyman work, my income varies month to month. I own my home but am struggling to keep up with the mortgage. I live alone. My child has depression and needs ongoing medical care. I struggle every month to pay my utility bills on time.",1,1,0,0,1,75,staying_with_family,citizen,False,True
I am a full-time caregiver for my spouse and have no outside income. I am staying with family temporarily as I cannot afford my own place. I live alone. I have been managing hypertension without proper medical care due to cost. I received a shutoff notice for my gas service. I do not have legal immigration status.,0,0,0,0,1,126,owned,undocumented,False,True
I recently lost my job at a local restaurant due to layoffs. I own my home but am struggling to keep up with the mortgage. I live with my spouse and 4 children. I have been managing arthritis without proper medical care due to cost. I am behind on my heating bills by $195.,1,1,0,1,1,88,staying_with_family,citizen,True,True
"I recently lost my job at Target due to layoffs. I am renting a room in a shared house for $1491 per month. My household includes myself, my partner, and our 4 children. I recently lost my employer-sponsored health insurance. I received a shutoff notice for my gas service. I am a legal permanent resident and have been in the US for over 5 years.",1,1,0,0,1,93,renting,qualified_alien,True,True
"I am self-employed doing food delivery work, my income varies month to month. I have been unhoused for 10 months and am staying in a shelter. I live with my partner. I recently lost my employer-sponsored health insurance. My utility bills take up a large portion of my income. I do not have legal immigration status.",0,0,0,0,0,234,unhoused,undocumented,False,True
"I am self-employed doing rideshare work, my income varies month to month. I am currently renting an apartment for $706 per month. I have 4 children ages 2, 1. I am pregnant and currently uninsured. I struggle every month to pay my utility bills on time.",0,0,0,0,0,203,unhoused,citizen,True,True
I am a full-time caregiver for my mother and have no outside income. I have been unhoused for 6 months and am staying in a shelter. I live alone. I recently lost my employer-sponsored health insurance. I received a shutoff notice for my gas service.,1,1,1,0,1,45,unhoused,citizen,False,True
"I am a student and work part-time, earning around $2004 a month. I am currently renting an apartment for $1070 per month. I live alone. I have no health insurance. My electricity bill has been very high this winter, around $376 per month. I am a legal permanent resident and have been in the US for over 5 years.",0,0,0,0,0,167,owned,qualified_alien,True,True
I receive disability benefits of $3816 per month and cannot work. I am renting a room in a shared house for $969 per month. I live alone. I recently lost my employer-sponsored health insurance.,0,0,0,0,0,318,renting,citizen,False,False
"I work part-time at a warehouse earning about $2076 per month. I recently became homeless after my landlord evicted me. I share an apartment with a roommate. I have a chronic condition (arthritis) that requires regular medication. My electricity bill has been very high this winter, around $318 per month. I am a legal permanent resident and have been in the US for over 5 years.",0,0,0,0,0,173,renting,qualified_alien,False,True
I am currently unemployed and have been looking for work for 3 months. I am staying with family temporarily as I cannot afford my own place. I live alone. My child has hypertension and needs ongoing medical care.,1,1,0,0,0,122,unhoused,citizen,True,False
I recently lost my job at a local restaurant due to layoffs. I own my home but am struggling to keep up with the mortgage. I am caring for my elderly father who lives with me. I am pregnant and currently uninsured. I struggle every month to pay my utility bills on time. I am a legal permanent resident and have been in the US for over 5 years.,0,0,0,0,1,150,staying_with_family,qualified_alien,True,True
"I am a student and work part-time, earning around $1632 a month. I am currently renting an apartment for $1578 per month. I have 2 children ages 10, 8, 14. I am pregnant and currently uninsured. My utility bills take up a large portion of my income.",0,1,0,0,1,136,staying_with_family,citizen,True,True
I receive disability benefits of $2736 per month and cannot work. I recently became homeless after my landlord evicted me. I have 4 children ages 3. I have been managing hypertension without proper medical care due to cost. I received a shutoff notice for my gas service.,0,0,0,0,0,228,staying_with_family,citizen,True,True
I receive disability benefits of $2256 per month and cannot work. I am currently renting an apartment for $951 per month. I live with my partner. My child has depression and needs ongoing medical care.,0,0,0,0,0,188,owned,citizen,False,False
"I am self-employed doing rideshare work, my income varies month to month. I recently became homeless after my landlord evicted me. I live alone. My child has arthritis and needs ongoing medical care.",0,0,0,0,0,193,staying_with_family,citizen,False,False
I recently lost my job at a small business due to layoffs. I am staying with family temporarily as I cannot afford my own place. I share an apartment with a roommate. My child has diabetes and needs ongoing medical care. I am a legal permanent resident and have been in the US for over 5 years.,0,0,0,0,0,398,unhoused,qualified_alien,False,False
"I receive disability benefits of $4344 per month and cannot work. I recently became homeless after my landlord evicted me. I live alone. My child has depression and needs ongoing medical care. My electricity bill has been very high this winter, around $403 per month. I am a legal permanent resident and have been in the US for over 5 years.",0,0,0,0,0,362,staying_with_family,qualified_alien,True,True
I am a full-time caregiver for my mother and have no outside income. I have been unhoused for 7 months and am staying in a shelter. I share an apartment with a roommate. I have been managing hypertension without proper medical care due to cost.,0,0,0,0,0,315,renting,citizen,False,False
"I am self-employed doing rideshare work, my income varies month to month. I have been unhoused for 4 months and am staying in a shelter. I am caring for my elderly father who lives with me. I have a chronic condition (asthma) that requires regular medication.",1,1,0,0,0,111,owned,citizen,True,False
"I am self-employed doing freelance cleaning work, my income varies month to month. I have been unhoused for 12 months and am staying in a shelter. I am caring for my elderly mother who lives with me. I have no health insurance.",0,1,0,0,0,135,staying_with_family,citizen,True,False
I recently lost my job at a small business due to layoffs. I have been unhoused for 3 months and am staying in a shelter. I live alone. My child has hypertension and needs ongoing medical care. I received a shutoff notice for my gas service.,1,1,0,1,1,59,unhoused,citizen,True,True
"I work 25 hours a week at warehouse, making $3552 monthly. I am renting a room in a shared house for $1340 per month. I live with my partner. I recently lost my employer-sponsored health insurance. My utility bills take up a large portion of my income.",0,0,0,0,0,296,owned,citizen,False,True
I recently lost my job at a local restaurant due to layoffs. I recently became homeless after my landlord evicted me. I share an apartment with a roommate. I have been managing hypertension without proper medical care due to cost.,1,1,0,0,0,102,staying_with_family,citizen,False,False
"I am a student and work part-time, earning around $1236 a month. I am renting a room in a shared house for $1285 per month. My household includes myself, my partner, and our 2 children. I am pregnant and currently uninsured. My utility bills take up a large portion of my income. I am a legal permanent resident and have been in the US for over 5 years.",1,1,0,0,1,103,staying_with_family,qualified_alien,True,True
"I work 20 hours a week at grocery store, making $816 monthly. I am renting a room in a shared house for $1325 per month. I live alone. I have a chronic condition (asthma) that requires regular medication. My utility bills take up a large portion of my income.",1,1,0,1,1,68,owned,citizen,True,True
I recently lost my job at Target due to layoffs. I am renting a room in a shared house for $994 per month. I live with my partner. I have no health insurance. I struggle every month to pay my utility bills on time.,1,1,0,0,1,121,owned,citizen,False,True
"I work 25 hours a week at cleaning service, making $2592 monthly. I own my home but am struggling to keep up with the mortgage. I live with my partner. I have been managing depression without proper medical care due to cost. I am a legal permanent resident and have been in the US for over 5 years.",0,0,0,0,0,216,unhoused,qualified_alien,False,False
I work part-time at a retail shop earning about $1092 per month. I have been unhoused for 10 months and am staying in a shelter. I live with my partner. I have no health insurance. I received a shutoff notice for my gas service. I am a legal permanent resident and have been in the US for over 5 years.,1,1,0,0,1,91,staying_with_family,qualified_alien,False,True
"I am a student and work part-time, earning around $456 a month. I have been unhoused for 3 months and am staying in a shelter. My household includes myself, my partner, and our 4 children. I have a chronic condition (diabetes) that requires regular medication. My electricity bill has been very high this winter, around $363 per month.",1,1,0,1,1,38,owned,citizen,True,True
I recently lost my job at a small business due to layoffs. I recently became homeless after my landlord evicted me. I am caring for my elderly father who lives with me. I am pregnant and currently uninsured. I struggle every month to pay my utility bills on time. I am a legal permanent resident and have been in the US for over 5 years.,0,0,0,0,0,345,owned,qualified_alien,True,True
I work part-time at a cleaning service earning about $444 per month. I am currently renting an apartment for $846 per month. I am caring for my elderly mother who lives with me. I recently lost my employer-sponsored health insurance. I struggle every month to pay my utility bills on time. I do not have legal immigration status.,0,0,0,0,1,37,owned,undocumented,True,True
